id_compra;nit_proveedor;codigo_producto;producto;fecha; costo_unitario ;cantidad
COM0001;800176527-8;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";11-11-25; 1.200 ;20
COM0002;800149369-2;11059;AGUA STOP CAUCHO GRIVAL;18-01-25; 1.200 ;20
COM0003;800067895-0;11058;ACOPLE SANITARIO GRIVAL 40 CMS;16-02-25; 1.200 ;20
COM0004;800162948-7;12178;ACOPLE RAPIDO PISTOLA PINTAR JUEGO X 5;06-04-25; 1.200 ;50
COM0005;800135790-2;10735;ADAPTADOR DE ESPIGO A ROSCA DE 1/2;20-08-25; 1.200 ;50
COM0006;800108632-3;11059;AGUA STOP CAUCHO GRIVAL;10-08-25; 1.200 ;20
COM0007;800013579-1;10020;ACOPLE LAVAMANOS CARDENAS LARGO;24-04-26; 1.200 ;20
COM0008;800135790-2;10006;ABRAZADERA TITAN 3/4A1 40-12;12-05-26; 1.200 ;100
COM0009;800081474-6;10018;ACIDO CORRIENTE X 480;15-02-26; 1.200 ;10
COM0010;800000000-2;11830;ALQUITRAN POR KILO;11-12-25; 1.200 ;100
COM0011;800067895-0;10013;ABRAZADERA TITAN 23/8A31/8  40-40;26-05-25; 1.200 ;20
COM0012;800027158-6;11696;ADAPTADOR PVC ALARGE 1/2 X 3/8;12-02-25; 1.200 ;10
COM0013;800067895-0;10001;ABRAZADERA 1/2 ECONOMICA;02-11-25; 1.200 ;100
COM0014;800081474-6;12241;ACOPLE SAMURAY CAUCHO ECONOMICO;04-02-26; 1.200 ;50
COM0015;800108632-3;10018;ACIDO CORRIENTE X 480;08-02-25; 1.200 ;50
COM0016;800176527-8;11058;ACOPLE SANITARIO GRIVAL 40 CMS;27-06-25; 1.200 ;10
COM0017;800067895-0;10029;AEROGRAFO X 125 ML CHORRO DSF-1505 K3;30-05-25; 1.200 ;100
COM0018;800000000-2;10031;ALAMBRE PUA C 14 X 500MT;14-02-25; 1.200 ;100
COM0019;800067895-0;10010;ABRAZADERA TITAN 11/4A2 40-28;11-12-25; 1.200 ;100
COM0020;800013579-1;10064;ALICATE STANLEY N 8 84-023;27-09-25; 1.200 ;10
COM0021;800190106-7;10040;ALAMBRE CENTELSA N  8 VERDE;03-02-25; 1.200 ;20
COM0022;800081474-6;10032;ALAMBRE PUA  C14 X 350MT CORSAN;08-09-25; 1.200 ;50
COM0023;800013579-1;10056;ALAMBRE CENTELSA N 14 NEGRO;10-05-25; 1.200 ;50
COM0024;800067895-0;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";23-06-25; 1.200 ;100
COM0025;800000000-2;10009;ABRAZADERA TITAN 11/8A17/8  40-24;22-01-26; 1.200 ;20
COM0026;800054316-5;12596;ADAPTADOR DE 1/2 EMT;14-08-25; 1.200 ;10
