id_producto;SKU;codigo_barras;Nombre;Marca;Categoria;Subcategoria;Unidad;IVA; Costo ; Precio ;Margen;Stock;stock_minimo;stock_maximo;Estado
10001;FERR-GEN-10001;7,71E+12;ABRAZADERA 1/2 ECONOMICA;Pavco;General;Herramientas;Unidades;19;1.200;2.000;1;50;10;500;Activo
10012;FERR-GEN-10012;7,71E+12;ABRAZADERA TITAN  2A2-3/8 40-36;Aceros Eje;General;Herramientas;Unidades;19;1.200;2.000;8;12;10;500;Activo
10005;FERR-GEN-10005;7,71E+12;ABRAZADERA TITAN 1/2A3/4  40-06;Aceros Eje;General;Herramientas;Unidades;19;1.200;2.000;2;3;10;500;Activo
10010;FERR-GEN-10010;7,71E+12;ABRAZADERA TITAN 11/4A2 40-28;Corona;General;Herramientas;Unidades;19;1.200;2.000;9;12;10;500;Activo
10009;FERR-GEN-10009;7,71E+12;ABRAZADERA TITAN 11/8A17/8  40-24;Pavco;General;Herramientas;Unidades;19;1.200;2.000;3;53;10;500;Activo
10011;FERR-GEN-10011;7,71E+12;ABRAZADERA TITAN 13/4A21/2  40-32;TotalTools;General;Fijaciones;Unidades;19;1.200;2.000;7;4;10;500;Inactivo
10008;FERR-GEN-10008;7,71E+12;ABRAZADERA TITAN 1A19/16 40-20;Aceros Eje;General;Accesorios;Unidades;19;1.200;2.000;4;45;10;500;Activo
10014;FERR-GEN-10014;7,71E+12;ABRAZADERA TITAN 2-3/8A3-1/8  40-44;Corona;General;Herramientas;Unidades;19;1.200;2.000;6;23;10;500;Activo
10013;FERR-GEN-10013;7,71E+12;ABRAZADERA TITAN 23/8A31/8  40-40;Corona;General;Herramientas;Unidades;19;1.200;2.000;6;5;10;500;Activo
10007;FERR-GEN-10007;7,71E+12;ABRAZADERA TITAN 29/32A1-3/8 40-16;Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;7;25;10;500;Activo
10006;FERR-GEN-10006;7,71E+12;ABRAZADERA TITAN 3/4A1 40-12;Aceros Eje;General;Accesorios;Unidades;19;1.200;2.000;7;0;10;500;Activo
10015;FERR-GEN-10015;7,71E+12;ABRAZADERA TITAN 31/2A45/16 40-56;Pavco;General;Fijaciones;Unidades;19;1.200;2.000;2;345;10;500;Activo
10002;FERR-GEN-10002;7,71E+12;ABRAZADERA TITAN 5/16-15/32 10-00;TotalTools;General;Fijaciones;Unidades;19;1.200;2.000;5;3;10;500;Activo
10003;FERR-GEN-10003;7,71E+12;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;TotalTools;General;Accesorios;Unidades;19;1.200;2.000;6;3;10;500;Activo
10004;FERR-GEN-10004;7,71E+12;ABRAZADERA TITAN 7/16A25/32 - 1/2 10-06;TotalTools;General;Accesorios;Unidades;19;1.200;2.000;7;34;10;500;Activo
10016;FERR-GEN-10016;7,71E+12;ACEITE USA1 X 30 CC;Stanley;General;Accesorios;Unidades;19;1.200;2.000;6;3;10;500;Activo
10017;FERR-GEN-10017;7,71E+12;ACEITE USA1 X 70 CC;Stanley;General;Herramientas;Unidades;19;1.200;2.000;1;2;10;500;Activo
10018;FERR-GEN-10018;7,71E+12;ACIDO CORRIENTE X 480;Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;3;5;10;500;Activo
11685;FERR-GEN-11685;7,71E+12;ACOPLE CAUCHO SUELTO LICUADORA OSTER;Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;3;2;10;500;Activo
10019;FERR-GEN-10019;7,71E+12;ACOPLE LAVAMANO CORTO  CARDENAS;Pavco;General;Herramientas;Unidades;19;1.200;2.000;6;23;10;500;Activo
10020;FERR-GEN-10020;7,71E+12;ACOPLE LAVAMANOS CARDENAS LARGO;Stanley;General;Fijaciones;Unidades;19;1.200;2.000;2;3;10;500;Activo
10021;FERR-GEN-10021;7,71E+12;ACOPLE LAVAMANOS GRIPLAS;Pavco;General;Fijaciones;Unidades;19;1.200;2.000;4;5;10;500;Activo
11057;FERR-GEN-11057;7,71E+12;ACOPLE LAVAMANOS GRIVAL 40CMS;Pintuco;General;Fijaciones;Unidades;19;1.200;2.000;7;12;10;500;Activo
11071;FERR-GEN-11071;7,71E+12;ACOPLE LAVAMANOS GRIVAL LARGO 60;Corona;General;Accesorios;Unidades;19;1.200;2.000;5;45;10;500;Activo
12240;FERR-GEN-12240;7,71E+12;ACOPLE PASTA SAMURAY ECONOMICO;Aceros Eje;General;Herramientas;Unidades;19;1.200;2.000;6;12;10;500;Activo
12187;FERR-GEN-12187;7,71E+12;ACOPLE RAPIDO PISTOLA PINTAR;Stanley;General;Accesorios;Unidades;19;1.200;2.000;2;4;10;500;Activo
12178;FERR-GEN-12178;7,71E+12;ACOPLE RAPIDO PISTOLA PINTAR JUEGO X 5;Pavco;General;Herramientas;Unidades;19;1.200;2.000;4;76;10;500;Activo
12188;FERR-GEN-12188;7,71E+12;ACOPLE RAPIDO PISTOLA X 2 DORADO DSF-6035;Pintuco;General;Accesorios;Unidades;19;1.200;2.000;2;45;10;500;Activo
12241;FERR-GEN-12241;7,71E+12;ACOPLE SAMURAY CAUCHO ECONOMICO;Stanley;General;Herramientas;Unidades;19;1.200;2.000;2;232;10;500;Activo
12242;FERR-GEN-12242;7,71E+12;ACOPLE SAMURAY PREMIER AMARILLO;Pintuco;General;Accesorios;Unidades;19;1.200;2.000;8;2;10;500;Activo
10022;FERR-GEN-10022;7,71E+12;ACOPLE SANITARIO CARDENAS LARGO;Pintuco;General;Accesorios;Unidades;19;1.200;2.000;1;45;10;500;Activo
10023;FERR-GEN-10023;7,71E+12;ACOPLE SANITARIO CORTO CARDENAS;Pavco;General;Fijaciones;Unidades;19;1.200;2.000;1;4;10;500;Activo
10024;FERR-GEN-10024;7,71E+12;ACOPLE SANITARIO GRIPLAS;Corona;General;Accesorios;Unidades;19;1.200;2.000;8;3;10;500;Activo
11058;FERR-GEN-11058;7,71E+12;ACOPLE SANITARIO GRIVAL 40 CMS;Corona;General;Herramientas;Unidades;19;1.200;2.000;2;43;10;500;Inactivo
11072;FERR-GEN-11072;7,71E+12;ACOPLE SANITARIO GRIVAL LARGO 55;Aceros Eje;General;Accesorios;Unidades;19;1.200;2.000;8;2;10;500;Activo
10025;FERR-GEN-10025;7,71E+12;ACRONAL  DE 1/4;Corona;General;Accesorios;Unidades;19;1.200;2.000;3;1;10;500;Activo
10026;FERR-GEN-10026;7,71E+12;ACRONAL  DE GALON;Pavco;General;Fijaciones;Unidades;19;1.200;2.000;8;54;10;500;Activo
12595;FERR-GEN-12595;7,71E+12;ADAPTADOR DE 1 EMT;Stanley;General;Fijaciones;Unidades;19;1.200;2.000;1;34;10;500;Activo
12596;FERR-GEN-12596;7,71E+12;ADAPTADOR DE 1/2 EMT;Corona;General;Accesorios;Unidades;19;1.200;2.000;2;4;10;500;Activo
12597;FERR-GEN-12597;7,71E+12;ADAPTADOR DE 3/4 EMT;Sika;General;Fijaciones;Unidades;19;1.200;2.000;8;1;10;500;Activo
10735;FERR-GEN-10735;7,71E+12;ADAPTADOR DE ESPIGO A ROSCA DE 1/2;Aceros Eje;General;Accesorios;Unidades;19;1.200;2.000;1;4;10;500;Activo
11698;FERR-GEN-11698;7,71E+12;"ADAPTADOR HEMBRA  1/2"" LEO PRECION";Corona;General;Herramientas;Unidades;19;1.200;2.000;2;0;10;500;Activo
10878;FERR-GEN-10878;7,71E+12;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;Sika;General;Herramientas;Unidades;19;1.200;10.800;1;23;10;500;Activo
11697;FERR-GEN-11697;7,71E+12;"ADAPTADOR HEMBRA DE 1"" PVC LEO";Pintuco;General;Fijaciones;Unidades;19;1.200;2.000;8;1;10;500;Activo
11699;FERR-GEN-11699;7,71E+12;ADAPTADOR HEMBRA DE 3/4 PVC LEO;Pavco;General;Accesorios;Unidades;19;1.200;2.000;2;234;10;500;Activo
10879;FERR-GEN-10879;7,71E+12;ADAPTADOR MACHO 1/2 X 16MM PE AL PE;Sika;General;Accesorios;Unidades;19;1.200;2.000;8;2;10;500;Activo
11702;FERR-GEN-11702;7,71E+12;"ADAPTADOR MACHO DE 1"" LEO";Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;1;23;10;500;Activo
11700;FERR-GEN-11700;7,71E+12;"ADAPTADOR MACHO DE 1/2"" PVC LEO";Sika;General;Accesorios;Unidades;19;1.200;2.000;8;435;10;500;Activo
11703;FERR-GEN-11703;7,71E+12;"ADAPTADOR MACHO DE 11/2"" PVC LEO";Aceros Eje;General;Herramientas;Unidades;19;1.200;2.000;2;2;10;500;Activo
11704;FERR-GEN-11704;7,71E+12;"ADAPTADOR MACHO DE 2"" PVC LEO";Aceros Eje;General;Herramientas;Unidades;19;1.200;2.000;8;43;10;500;Activo
11701;FERR-GEN-11701;7,71E+12;"ADAPTADOR MACHO DE 3/4"" PVC LEO";Pintuco;General;Accesorios;Unidades;19;1.200;2.000;1;12;10;500;Activo
11696;FERR-GEN-11696;7,71E+12;ADAPTADOR PVC ALARGE 1/2 X 3/8;Stanley;General;Fijaciones;Unidades;19;1.200;2.000;8;4;10;500;Activo
10027;FERR-GEN-10027;7,71E+12;AEROGRAFO F75 400 ML DSF-1499;Pavco;General;Accesorios;Unidades;19;1.200;2.000;2;54;10;500;Activo
10028;FERR-GEN-10028;7,71E+12;AEROGRAFO LAPICERO X 4 HOPEX PROFESI;Pintuco;General;Fijaciones;Unidades;19;1.200;2.000;8;3;10;500;Activo
10029;FERR-GEN-10029;7,71E+12;AEROGRAFO X 125 ML CHORRO DSF-1505 K3;Pavco;General;Accesorios;Unidades;19;1.200;2.000;1;5;10;500;Activo
10030;FERR-GEN-10030;7,71E+12;AEROGRAFO X 150 ML ABANICO HOPEX F2;Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;2;56;10;500;Activo
11941;FERR-GEN-11941;7,71E+12;AGUA STOP AHORRADOR PLASTIG;Aceros Eje;General;Accesorios;Unidades;19;1.200;2.000;8;3;10;500;Activo
10986;FERR-GEN-10986;7,71E+12;AGUA STOP ARGOLLA GERFOR 581140;Stanley;General;Accesorios;Unidades;19;1.200;2.000;1;53;10;500;Activo
11942;FERR-GEN-11942;7,71E+12;AGUA STOP CAUCHO GRIPLAS;TotalTools;General;Fijaciones;Unidades;19;1.200;2.000;6;5;10;500;Activo
11059;FERR-GEN-11059;7,71E+12;AGUA STOP CAUCHO GRIVAL;Sika;General;Herramientas;Unidades;19;1.200;2.000;8;23;10;500;Inactivo
11060;FERR-GEN-11060;7,71E+12;AGUA STOP PASTA GRIVAL;Sika;General;Accesorios;Unidades;19;1.200;2.000;6;23;10;500;Activo
10987;FERR-GEN-10987;7,71E+12;AGUA STOP PINES SAPITO GERFOR 580051;Sika;General;Herramientas;Unidades;19;1.200;2.000;1;30;10;500;Activo
11943;FERR-GEN-11943;7,71E+12;AGUA STOP PLASTGRIFOS;Aceros Eje;General;Accesorios;Unidades;19;1.200;2.000;6;12;10;500;Activo
10084;FERR-GEN-10084;7,71E+12;AGUAMONIACO  FRASCO X 480;Pavco;General;Accesorios;Unidades;19;1.200;3.800;1;12;10;500;Activo
12177;FERR-GEN-12177;7,71E+12;AGUJAS PISTOLA PINTAR;Sika;General;Accesorios;Unidades;19;1.200;2.000;6;54;10;500;Activo
10035;FERR-GEN-10035;7,71E+12;ALAMBRE CENTELSA N  8 AMARILLO;Pintuco;General;Herramientas;Unidades;19;1.200;2.000;7;23;10;500;Activo
10036;FERR-GEN-10036;7,71E+12;ALAMBRE CENTELSA N  8 AZUL;Corona;General;Accesorios;Unidades;19;1.200;2.000;8;23;10;500;Activo
10037;FERR-GEN-10037;7,71E+12;ALAMBRE CENTELSA N  8 BLANCO;Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;1;56;10;500;Activo
10038;FERR-GEN-10038;7,71E+12;ALAMBRE CENTELSA N  8 NEGRO;Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;5;45;10;500;Activo
10039;FERR-GEN-10039;7,71E+12;ALAMBRE CENTELSA N  8 ROJO;Stanley;General;Herramientas;Unidades;19;1.200;2.000;6;5;10;500;Activo
10040;FERR-GEN-10040;7,71E+12;ALAMBRE CENTELSA N  8 VERDE;Corona;General;Accesorios;Unidades;19;1.200;2.000;6;2;10;500;Activo
10041;FERR-GEN-10041;7,71E+12;ALAMBRE CENTELSA N 10 AMARILLO;Sika;General;Herramientas;Unidades;19;1.200;2.000;2;45;10;500;Activo
10042;FERR-GEN-10042;7,71E+12;ALAMBRE CENTELSA N 10 AZUL;Aceros Eje;General;Herramientas;Unidades;19;1.200;2.000;5;1;10;500;Activo
