id_venta;id_cliente;codigo_producto;producto;vendedor;fecha;cantidad; precio_venta_unitario ;descuento; total_neto ; utilidad ;forma_pago
VEN00001;CLI076;10022;ACOPLE SANITARIO CARDENAS LARGO;Andrés Cardona;25/01/2025;3;2000;0;6000;2400;Efectivo
VEN00002;CLI179;10084;AGUAMONIACO  FRASCO X 480;Milena Restrepo;5/04/2026;3;3800;0;11400;7800;Transferencia
VEN00003;CLI256;10048;ALAMBRE CENTELSA N 12 AZUL;Andrés Cardona;3/01/2026;2;2000;0;4000;1600;Tarjeta
VEN00004;CLI150;10017;ACEITE USA1 X 70 CC;Diana Tobón;12/08/2025;3;2000;0;6000;2400;Efectivo
VEN00005;CLI023;11071;ACOPLE LAVAMANOS GRIVAL LARGO 60;Andrés Cardona;26/02/2026;3;2000;0;6000;2400;Transferencia
VEN00006;CLI109;10032;ALAMBRE PUA  C14 X 350MT CORSAN;Andrés Cardona;1/05/2025;2;2000;0;4000;1600;Transferencia
VEN00007;CLI261;10018;ACIDO CORRIENTE X 480;Milena Restrepo;16/05/2025;10;2000;0;20000;8000;Tarjeta
VEN00008;CLI226;11941;AGUA STOP AHORRADOR PLASTIG;Carlos Mario Hoyos;15/06/2025;5;2000;0;10000;4000;Efectivo
VEN00009;CLI279;10025;ACRONAL  DE 1/4;Carlos Mario Hoyos;15/12/2025;2;2000;0;4000;1600;Transferencia
VEN00010;CLI174;11942;AGUA STOP CAUCHO GRIPLAS;Milena Restrepo;19/09/2025;10;2000;0;20000;8000;Tarjeta
VEN00011;CLI030;11700;"ADAPTADOR MACHO DE 1/2"" PVC LEO";Milena Restrepo;3/04/2025;10;2000;0;20000;8000;Efectivo
VEN00012;CLI164;10033;ALAMBRE PUA C16 X 200MT CORSAN;Andrés Cardona;20/05/2025;1;2000;0;2000;800;Tarjeta
VEN00013;CLI192;11060;AGUA STOP PASTA GRIVAL;Carlos Mario Hoyos;15/01/2025;1;2000;0;2000;800;Transferencia
VEN00014;CLI241;11696;ADAPTADOR PVC ALARGE 1/2 X 3/8;Diana Tobón;24/01/2025;10;2000;0;20000;8000;Efectivo
VEN00015;CLI065;10056;ALAMBRE CENTELSA N 14 NEGRO;Milena Restrepo;25/01/2026;3;2000;0;6000;2400;Tarjeta
VEN00016;CLI188;10879;ADAPTADOR MACHO 1/2 X 16MM PE AL PE;Milena Restrepo;10/02/2026;10;2000;0;20000;8000;Efectivo
VEN00017;CLI183;11060;AGUA STOP PASTA GRIVAL;Carlos Mario Hoyos;21/02/2026;5;2000;0;10000;4000;Efectivo
VEN00018;CLI206;10987;AGUA STOP PINES SAPITO GERFOR 580051;Diana Tobón;16/09/2025;5;2000;500;9500;3500;Tarjeta
VEN00019;CLI046;10017;ACEITE USA1 X 70 CC;Andrés Cardona;20/11/2025;3;2000;0;6000;2400;Efectivo
VEN00020;CLI266;10986;AGUA STOP ARGOLLA GERFOR 581140;Diana Tobón;2/09/2025;10;2000;0;20000;8000;Tarjeta
VEN00021;CLI275;10002;ABRAZADERA TITAN 5/16-15/32 10-00;Carlos Mario Hoyos;5/10/2025;10;2000;2000;18000;6000;Transferencia
VEN00022;CLI287;10008;ABRAZADERA TITAN 1A19/16 40-20;Milena Restrepo;8/05/2026;10;2000;0;20000;8000;Efectivo
VEN00023;CLI182;10010;ABRAZADERA TITAN 11/4A2 40-28;Carlos Mario Hoyos;19/08/2025;5;2000;0;10000;4000;Tarjeta
VEN00024;CLI133;10048;ALAMBRE CENTELSA N 12 AZUL;Diana Tobón;16/02/2026;3;2000;0;6000;2400;Tarjeta
VEN00025;CLI265;10987;AGUA STOP PINES SAPITO GERFOR 580051;Carlos Mario Hoyos;25/03/2025;1;2000;100;1900;700;Tarjeta
VEN00026;CLI014;12240;ACOPLE PASTA SAMURAY ECONOMICO;Carlos Mario Hoyos;1/04/2025;3;2000;600;5400;1800;Transferencia
VEN00027;CLI167;10035;ALAMBRE CENTELSA N  8 AMARILLO;Milena Restrepo;4/12/2025;10;2000;0;20000;8000;Transferencia
VEN00028;CLI138;10002;ABRAZADERA TITAN 5/16-15/32 10-00;Milena Restrepo;7/05/2026;10;2000;0;20000;8000;Efectivo
VEN00029;CLI287;11704;"ADAPTADOR MACHO DE 2"" PVC LEO";Carlos Mario Hoyos;30/08/2025;2;2000;0;4000;1600;Efectivo
VEN00030;CLI112;10035;ALAMBRE CENTELSA N  8 AMARILLO;Carlos Mario Hoyos;11/05/2025;1;2000;0;2000;800;Efectivo
VEN00031;CLI284;12597;ADAPTADOR DE 3/4 EMT;Carlos Mario Hoyos;18/07/2025;1;2000;0;2000;800;Transferencia
VEN00032;CLI121;10058;ALAMBRE CENTELSA N 14 VERDE;Diana Tobón;2/01/2026;2;2000;0;4000;1600;Tarjeta
VEN00033;CLI113;10040;ALAMBRE CENTELSA N  8 VERDE;Andrés Cardona;21/07/2025;10;2000;0;20000;8000;Tarjeta
VEN00034;CLI149;12242;ACOPLE SAMURAY PREMIER AMARILLO;Milena Restrepo;26/09/2025;5;2000;0;10000;4000;Efectivo
VEN00035;CLI090;10031;ALAMBRE PUA C 14 X 500MT;Andrés Cardona;26/01/2026;3;2000;0;6000;2400;Tarjeta
VEN00036;CLI182;11685;ACOPLE CAUCHO SUELTO LICUADORA OSTER;Andrés Cardona;14/05/2025;3;2000;0;6000;2400;Tarjeta
VEN00037;CLI005;10042;ALAMBRE CENTELSA N 10 AZUL;Carlos Mario Hoyos;15/01/2025;1;2000;0;2000;800;Efectivo
VEN00038;CLI177;10033;ALAMBRE PUA C16 X 200MT CORSAN;Andrés Cardona;19/03/2025;2;2000;0;4000;1600;Efectivo
VEN00039;CLI123;10038;ALAMBRE CENTELSA N  8 NEGRO;Andrés Cardona;27/03/2025;5;2000;0;10000;4000;Tarjeta
VEN00040;CLI142;10055;ALAMBRE CENTELSA N 14 BLANCO;Milena Restrepo;2/03/2026;3;2000;0;6000;2400;Efectivo
